// race-specific variables (must start with _)
_empire                           | Fiershan Clan, Prrshan Clan, Mewshan Clan, Clawshan Clan, Hisshan Clan
GAME_OVER_REBELLION_WIN2          | ¡Los tesoros de esta galaxia son tuyos para ser tomados!#El tiempo de los Khanatos ha comenzado por fin. Desde el inicio mismo de tu incursión en la galaxia inexplorada, encontraste civilizaciones viajeras del espacio que perseguían sus propios objetivos entre el mar de estrellas. Sin embargo, a pesar de sus culturas avanzadas e innovaciones tecnológicas, todas han caído ahora ante ti y tu ferocidad sin igual. Al principio, estabas más que conforme con dejar que estas civilizaciones continuaran como estaban, proporcionando a tu pueblo fuentes interminables de tesoros asombrosos que ganar en sus incursiones. Pero cuando decidieron formar una nueva unión, en lo que sin duda fue un intento de impedir que tu pueblo continuara con su forma de vida, tomaste la única respuesta apropiada para quienes se atrevieran a oponerse a ti.#Con tu astucia, habilidad y tenacidad en el campo de batalla enfrentadas a las flotas de tus imperios rivales, tu rebelión contra el nuevo orden galáctico ha terminado en una victoria completa y total. El botín de miles de mundos yace abierto e indefenso, pues quienes lo custodiaban han sido apartados de tu camino por tus propias manos. ¡Tómalos, Khan Dorado! Añádelos a tu tesoro y prepara a tu pueblo para el botín que aguarda en galaxias más allá...
GAME_OVER_REBEL_ALLIANCE_WIN2     | El botín de esta galaxia para ti y tus aliados...#Fue una decisión fácil alzar tu estandarte en rebelión contra la Nueva República. Sabías que la galaxia tenía en poca estima a tu pueblo y su forma de vida. A medida que las historias de tu destreza marcial y las aterradoras incursiones que ejecutaste contra imperios rivales se difundían por la galaxia, comprendiste que un orden galáctico unificado representaría una amenaza insuperable para ti una vez formado. Como un verdadero líder salido de las leyendas de tu antiguo pueblo, actuaste más rápido de lo que otros podían anticipar y golpeaste a este orden en una guerra abierta. Y al hacerlo, impediste que tus enemigos encontraran el apoyo que necesitarían para abrumar a las flotas del Khanato.#Para tu gran satisfacción, encontraste a otros descontentos con la forma que comenzaba a tomar el futuro y, a cambio de una pequeña parte del botín, forjaste una nueva alianza que te ayudó a imponer tu dominio sobre las lamentablemente mal preparadas fuerzas que se alzaron contra ti. Tus rivales han sido obliterados por completo, y los aliados que hiciste no tendrán ninguna oportunidad frente a tu poder si alguna vez dejan de serte útiles. Todo lo que queda ahora es que tomes aquello por lo que has luchado con tanto empeño...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Al menos tus botines estarán a salvo en esta nueva era...#No sorprende a nadie que el Consejo Galáctico no haya sabido ver tu grandeza y se negara a concederte el liderazgo de la Nueva República. Tus incursiones contra otros imperios han vuelto impopular a tu pueblo, y pocos están dispuestos a mirar más allá de tus normas culturales para comprenderlo a un nivel verdaderamente significativo. Pero ya sea por ingenuidad o por la sensación de autenticidad que ha ganado a tantos otros para su causa, lograste encontrar un terreno común con la raza [leader_race] y, sabiendo que sería el mejor movimiento para tu pueblo, ayudaste a elegirlos como líderes de la era venidera.#En gratitud y con generosidad, has logrado asegurar la seguridad de tus botines sin necesidad de pagar reparaciones a aquellos a quienes se los arrebataste, gracias a la generosidad de tus aliados [leader_race]. Al negociar esta paz, has aceptado de mala gana poner fin a tus incursiones, y ahora debes explorar nuevos caminos para canalizar los deseos de tu pueblo. Pero sin duda esto es mejor que el futuro de aniquilación segura que habrías enfrentado si hubieras decidido rebelarte contra tu aliado...
GAME_OVER_COUNCIL_WIN2            | ¡Esta galaxia y sus tesoros te pertenecen a ti y solo a ti!#El día más grandioso en la historia de tu pueblo ha llegado por fin: el Khan Dorado se ha convertido en el Maestro de la Nueva República. Desde el principio, tu pueblo forjó una reputación aterradora como saqueadores violentos. Aunque en el pasado se alzaron muchas voces en tu contra, todas callan cuando el Consejo Galáctico reconoce tu fuerza insuperable. Seguramente algunos de los imperios que ayudaron a elegirte esperan convertirse en verdaderos amigos de tu pueblo, pero sabes que la mayoría de quienes te colocaron aquí lo hicieron por temor a provocar tu ira. ¡Y no lo querrías de otra manera!#Desde este día en adelante, todos los imperios de la Nueva República te rendirán tributo. Y por el crimen de intentar oponerse a ti en las cámaras del consejo, los imperios que votaron contra tu ascenso quedarán para siempre sujetos a las incursiones de tu pueblo, sin volver a obtener el poder que necesitarían para alzarse contra ti. La galaxia pertenece a los Fiershan, y seguirá siendo subyugada a ti hasta el fin de los tiempos. ¡Salve a la nueva era, y salve al Khan Dorado!
GAME_OVER_COUNCIL_MILITARY_WIN2   | El botín de esta galaxia para ti y tus aliados...#Ahora tu glorioso reinado puede comenzar de verdad. La legendaria destreza de tu pueblo en el campo de batalla y las historias de las terribles incursiones que llevaste a cabo dieron como resultado que te convirtieras en el Maestro de la Nueva República. Pero aunque muchos temían provocar tu ira lo suficiente como para alinearse con tus deseos, aún hubo quienes fueron demasiado necios para dejarse convencer por tus demostraciones de poder. Ansiosos por apropiarse de sus tesoros y añadirlos a sus crecientes reservas, tu pueblo avanzó para aplastar la rebelión y reclamar sus recompensas, esta vez con el apoyo de todo el ejército unificado de la Nueva República que ahora gobiernas.#La rebelión terminó antes incluso de comenzar, y los ejércitos de los usurpadores fueron derrotados con un esfuerzo mínimo. Con sus tesoros reunidos, los Fiershan hurgan entre el botín, arrojando los desechos para ser entregados como recompensas a los imperios menores que te sirven. Con los rebeldes como ejemplo de lo que ocurre cuando te desagradan, hay pocas razones para creer que algún rival vuelva a darse a conocer. Vuelve ahora tu atención hacia otras galaxias, pues allí aguardan presas indefensas listas para ser cazadas y aún más tesoros relucientes que añadir a tu colección...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Tus preciados tesoros ahora quedan libres para ser tomados...#Aunque al principio lograste usar el miedo para aplastar la disidencia de tus rivales y convertirte en el Maestro de la Nueva República, hubo algunos lo bastante valientes como para oponerse a ti y al futuro que imaginabas. Tu pueblo era orgulloso y fuerte, adornado con los botines de incontables incursiones y ansioso por obtener más tesoros en otra conquista inevitable. Pero no vieron, o no pudieron ver, el peligro que representaba la rebelión, y el firme coraje que los rebeldes demostraron resultó ser tu final.#Aunque alardeabas de números superiores al utilizar las flotas de aquellos a quienes habías forzado a someterse, no pudiste detener la insurrección, que desestabilizó la república y te arrojó del trono. Primero cayeron tus subordinados y poco después tu propio pueblo. Parece que, al final, la galaxia misma eligió en contra del futuro que habías planeado. Después de todo, ¿qué es la voluntad de un solo pueblo, por fuerte que sea, frente a la mano indomable del destino...?


// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | la lujuria por los tesoros de los Fiershan
GAME_OVER_REBELLION_LOSS3         | la codicia insaciable de los Fiershan lo engulle todo

