//
// Diálogos que no son específicos de una raza
//

DIPLO_TECH_REQUEST_MENU_01   | [cite_start]¿Qué tipo de tecnología te interesa? [cite: 1]
DECLINE_ESPIONAGE_01       | Perros ladrones, roban los frutos de nuestra investigación. [cite_start]Denegamos su petición. [cite: 41, 42]
DECLINE_ESPIONAGE_01       | Nuestra tecnología es para la raza [my_race]. No tienes derecho a robarla. [cite_start]Hablaremos cuando dejes de robar. [cite: 42, 43]
DECLINE_ESPIONAGE_01       | ¿Por qué deberíamos darte nada? [cite_start]¡Tus espías ya roban todo lo que necesitas! [cite: 44, 45]
DECLINE_ESPIONAGE_01       | [cite_start]¿Cómo puedes esperar que aceptemos cuando tus espías están robando nuestra tecnología? [cite: 46]
DECLINE_ESPIONAGE_01       | [cite_start]Retira a tus espías, entonces hablaremos. [cite: 47]
DECLINE_SABOTAGE_01        | No hemos olvidado tu último incidente de sabotaje. [cite_start]Hasta que demuestres ser más confiable, no negociaremos contigo. [cite: 48, 49]
DECLINE_SABOTAGE_01        | Nuestro pueblo ha sufrido por tu sabotaje. [cite_start]No negociaremos contigo hasta que cese. [cite: 50, 51]
DECLINE_SABOTAGE_01        | ¡Qué! [cite_start]¿Esperas que estemos de acuerdo cuando estás saboteando nuestro [target]? [cite: 51, 52]
DECLINE_SABOTAGE_01        | Destruyes nuestro [target]. [cite_start]¿Por qué deberíamos negociar contigo? [cite: 53]
DECLINE_SABOTAGE_01        | [cite_start]Cuando dejes de sabotear nuestro [target], podremos considerar el asunto más a fondo. [cite: 54]
DECLINE_BUILDUP_01         | [cite_start]No hablaremos de ello mientras amases naves cerca de nuestras fronteras. [cite: 56]
DECLINE_BUILDUP_01         | Retira tus naves de nuestras fronteras y consideraremos aceptar. [cite_start]Hasta entonces, no estamos interesados. [cite: 58]
DECLINE_BUILDUP_01         | Tus naves en nuestras fronteras no son una amenaza para nosotros. [cite_start]Pero nos negamos a negociar mientras permanezcan allí. [cite: 59, 60]
DECLINE_BUILDUP_01         | [cite_start]Si deseas negociar con el [my_empire], entonces envía tus naves a amenazar a otros, no a nosotros. [cite: 61]
DECLINE_ENCROACH_01        | Tus flotas se entrometen en el espacio [my_race]. [cite_start]Aléjalas, entonces hablaremos. [cite: 62, 63]

DECLINE_SKIRMISH_01        | ¿Atacas nuestras naves sin provocación y esperas que aceptemos? [cite_start]Nos negamos a negociar. [cite: 64]
DECLINE_SKIRMISH_01        | [cite_start]No podemos aceptar una oferta de alguien que ataca nuestras flotas. [cite: 65]
DECLINE_SKIRMISH_01        | [cite_start]Una vez que tus flotas hayan dejado de atacar las nuestras, podremos hablar. [cite: 66]
DECLINE_SKIRMISH_01        | [cite_start]Si deseas negociar con el [my_empire], deja en paz a nuestras flotas. [cite: 67]
DECLINE_SKIRMISH_01        | [my_nameTitle] [my_name] no aprecia la destrucción de nuestras flotas. [cite_start]No aceptamos. [cite: 68, 69]

DECLINE_ATTACK_01          | [cite_start]Tu asalto injustificado a [system] te deja poco margen para negociar. [cite: 70]
DECLINE_ATTACK_01          | No hemos olvidado el ataque a la colonia de [system]. [cite_start]No hay forma de que aceptemos. [cite: 72]
DECLINE_INVASION_01        | Nuestra gente no desea negociar con los carniceros de [system]. [cite_start]Haz las paces primero. [cite: 73, 74]
DECLINE_INVASION_01        | La sangre de [system] mancha tus palabras. [cite_start]No podemos aceptar tu oferta. [cite: 74, 75]
DECLINE_INVASION_01        | Los muertos de [system] claman por retribución. [cite_start]Escuchamos sus gritos más fuerte que tu oferta. [cite: 76]
DECLINE_BIOWEAPONS_01      | [cite_start]Los [my_race] no harán tratos con una raza que use armas biológicas. [cite: 77]
DECLINE_BIOWEAPONS_01      | [cite_start]No podemos negociar con nadie lo suficientemente desesperado como para usar armamento biológico. [cite: 78]
DECLINE_BIOWEAPONS_01      | Usas armas que causan horrores indecibles en poblaciones inocentes. [cite_start]Nos negamos a tratar con tal locura. [cite: 79, 80]
DECLINE_BIOWEAPONS_01      | Los dioses aborrecen a aquellos que destruirían planetas con armamento biológico. [cite_start]Los [my_race] no pueden permitirlo. [cite: 81]
DECLINE_BIOWEAPONS_01      | Los gritos de aquellos asesinados por tus armas biológicas llenan nuestros oídos. [cite_start]No podemos escuchar tu oferta. [cite: 82, 83]

DECLINE_TECH_TRADE_01      | [cite_start]No tienes tecnología que nos interese. [cite: 83]
DECLINE_TECH_TRADE_01      | [cite_start]No tenemos necesidad de los juguetes de los [your_race]. [cite: 84]
DECLINE_TECH_TRADE_01      | [cite_start]Tus inventos primitivos no nos interesan. [cite: 85]
DECLINE_TECH_TRADE_01      | [cite_start]Los [my_race] están mucho más allá de tu tecnología. [cite: 86]
DECLINE_TECH_TRADE_01      | [cite_start][your_nameTitle] [your_name], tenemos poca necesidad de lo que tus científicos nos ofrecen. [cite: 87]
DECLINE_TECH_TRADE_01      | [cite_start][my_nameTitle] [my_name] ve poco interés en tu tecnología. [cite: 88]
OFFER_TECH_EXCHANGE_01     | El [your_empire] tiene gran necesidad de tu tecnología [tech]. [cite_start]Quizás estés dispuesto a intercambiarla por algo de nuestra tecnología. [cite: 89, 90]
OFFER_TECH_EXCHANGE_01     | El [your_empire] sabe que has aprendido los secretos de [tech]. [cite_start]¿Podemos ofrecerte algo de nuestra tecnología a cambio? [cite: 91]
OFFER_TECH_EXCHANGE_01     | [your_nameTitle] [your_name] del [your_empire] desea el secreto de la tecnología [tech]. [cite_start]¿Lo intercambiarás por uno de nuestros avances? [cite: 92, 93]
OFFER_TECH_EXCHANGE_01     | La raza [your_race] está asombrada por las maravillas científicas de [tech]. [cite_start]¿Qué podemos ofrecerte por su secreto? [cite: 94]
ACCEPT_TECH_EXCHANGE_01    | Muy bien. [cite_start][my_nameTitle] [my_name] acepta intercambiar los maravillosos secretos [my_race] de [techGiven] por la tecnología [techReceived]. [cite: 95]
ACCEPT_FINANCIAL_AID_01    | [cite_start][my_nameTitle] [my_name] acepta tu regalo de [amt] BC. [cite: 96]
ACCEPT_TECHNOLOGY_AID_01   | [cite_start][my_nameTitle] [my_name] acepta tu regalo de [tech]. [cite: 97]

BREAK_TRADE_01             | [cite_start]Los ciudadanos [my_race] no tienen más deseo de los bienes comerciales del [your_empire]. [cite: 98]
ANNOUNCE_TRADE_01          | [cite_start]A partir de [year], el [my_empire] y el [your_empire] acuerdan comerciar [amt] BC por año. [cite: 100]
ANNOUNCE_PEACE_01          | [cite_start]En el año [year], los imperios [my_race] y [your_race] acuerdan terminar todas las hostilidades. [cite: 102]
ANNOUNCE_PEACE_01          | [cite_start][my_nameTitle] [my_name] ordena por la presente el fin de todas las hostilidades entre nuestros imperios. [cite: 104]
ACCEPT_PEACE_01            | [cite_start]Estamos de acuerdo en que ha llegado el momento de terminar nuestras pequeñas disputas. [cite: 106]
ACCEPT_PEACE_01            | Aceptamos tu oferta de paz. [cite_start]Cesa el fuego sobre las fuerzas [my_race] y dejaremos de atacar las tuyas. [cite: 107, 108]
ACCEPT_PEACE_01            | Nos cansamos de esta destrucción sin sentido. [cite_start]El [my_empire] acepta tu oferta de paz. [cite: 109, 110]

BREAK_PACT_01              | [cite_start]Una advertencia al [your_empire] de parte de los [my_race]: ¡nuestro Pacto de No Agresión se ha roto! [cite: 111]
ANNOUNCE_PACT_01           | [cite_start]En el año [year], el [my_empire] se compromete a adherirse a un Pacto de No Agresión y a no atacar las flotas [your_race] a menos que estén orbitando una de nuestras colonias. [cite: 113]
ACCEPT_PACT_01             | El [my_empire] acepta un Pacto de No Agresión. [cite_start]Ninguna de las partes atacará las flotas de la otra, a menos que entren en la órbita de una colonia enemiga. [cite: 115]
ACCEPT_PACT_01             | [cite_start]Si aceptas no enviar naves a ninguna de nuestras colonias, el pueblo [my_race] jura no atacar ninguna de tus naves. [cite: 117]
ACCEPT_PACT_01             | [my_nameTitle] [my_name] acepta tu propuesta de Pacto de No Agresión. [cite_start]¡Que así se escriba, que así se haga! [cite: 119]
ACCEPT_PACT_01             | De acuerdo, entonces. [cite_start]Mientras no ataques nuestras colonias, el [my_empire] acatará el Pacto de No Agresión. [cite: 120, 121]
BREAK_ALLIANCE_01          | [cite_start]El [my_empire] ya no puede mantener una Alianza con el [your_empire]. [cite: 123]
ANNOUNCE_ALLIANCE_01       | [cite_start]En el año [year], el [my_empire] y el [your_empire] acuerdan formar una alianza en la cual ninguno atacará las flotas o colonias del otro. [cite: 124]
ANNOUNCE_ALLIANCE_01       | Así se forja nuestra Alianza. [cite_start]Tus naves pueden visitar nuestras colonias como desees y obtener combustible de nuestras bases. [cite: 125, 126]
ACCEPT_ALLIANCE_01         | [cite_start][my_nameTitle] [my_name] da la bienvenida a una Alianza con nuestro buen amigo, [your_nameTitle] [your_name]. [cite: 128]
ACCEPT_ALLIANCE_01         | El [my_empire] y el [your_empire] forjan hoy una Alianza entre nuestros pueblos. [cite_start]¡Muerte a nuestros enemigos! [cite: 130]
ACCEPT_ALLIANCE_01         | [my_nameTitle] [my_name] ve la sabiduría en una Alianza con el [your_empire]. [cite_start]¡Que así sea! [cite: 132]
OFFER_JOINT_WAR_01         | [cite_start]Ha llegado el momento de que el [your_empire] y el [my_empire] se unan en guerra contra los [other_race]. [cite: 134]
ACCEPT_JOINT_WAR_01        | [cite_start]El [other_empire] debe caer ante el poder combinado del [my_empire] y el [your_empire]. [cite: 135]
ACCEPT_JOINT_WAR_01        | [cite_start]Con los [my_race] y [your_race] aliados, los [other_race] no durarán mucho. [cite: 136]
ACCEPT_JOINT_WAR_01        | [cite_start]En el año [year], el [my_empire] y el [your_empire] unen fuerzas para librar a la galaxia de la amenaza de los [other_race]. [cite: 137]
COUNTER_JOINT_WAR_01       | [cite_start]Nos uniremos a ti en tu guerra contra el [other_empire] a cambio de la siguiente compensación: [cite: 138]
RESPOND_CLOSE_EMBASSY_01   | Que así sea. [cite_start]No habrá más discusiones entre nuestros imperios. [cite: 139]

RESPOND_BREAK_TRADE_01     | [cite_start]Recordaremos esto. [cite: 140]
RESPOND_BREAK_TRADE_01     | Así que, [your_nameTitle] [your_name], no puedes mantener tu palabra. [cite_start]No olvidaremos esto. [cite: 141]

RESPOND_BREAK_PACT_01      | [cite_start]Inscribiremos las palabras de tus tratados rotos sobre tu tumba, [your_nameTitle] [your_name]. [cite: 142]
RESPOND_BREAK_PACT_01      | [cite_start]El [your_empire] se desmoronará bajo el peso de sus propias promesas rotas. [cite: 143]
RESPOND_BREAK_ALLIANCE_01  | Has deshonrado el acuerdo. [cite_start]La alianza está rota. [cite: 144]
RESPOND_BREAK_ALLIANCE_01  | Muy bien. Tus intenciones poco confiables han quedado a la vista. [cite_start]La alianza está rota. [cite: 145]
RESPOND_BREAK_ALLIANCE_01  | Tenemos poca necesidad de tratados que no se honran. [cite_start]La alianza está rota. [cite: 146]
RESPOND_BREAK_ALLIANCE_01  | Que así sea. [cite_start]La alianza está rota. [cite: 147]
