

//
// Armor techs
// 
ARMOR_0_NAME     | Blindaje de titanio
DEFLECTOR_10_BRIEF    | Absorbe 13 impactos
DEFLECTOR_10_DETAIL   | Absorbe 13 puntos de daño de todos los ataques.

DEFLECTOR_11_NAME     | Escudos Deflectores Clase XV
DEFLECTOR_11_ITEM     | Clase XV
DEFLECTOR_11_BRIEF    | Absorbe 15 impactos
DEFLECTOR_11_DETAIL   | Absorbe 15 puntos de daño de todos los ataques.



//
// Displacement tech
//
DISPLACEMENT_0_NAME   | Dispositivo de Desplazamiento
DISPLACEMENT_0_BRIEF  | 1/3 de todos los ataques enemigos fallan
DISPLACEMENT_0_DETAIL | Desplaza aleatoriamente las naves equipadas dentro y fuera del espacio normal, permitiéndoles evitar 1/3 de todos los ataques de armas que no sean de área.



//
// ECM Jammer tech
//
// this is the entry on Ship Design for selecting no ECM Jammer
ECMJAMMER_0_NAME      | 
ECMJAMMER_0_ITEM      | 
ECMJAMMER_0_BRIEF     | Defensa de Misiles 0
ECMJAMMER_0_DETAIL    | 

ECMJAMMER_1_NAME      | Inhibidor ECM Mark I
ECMJAMMER_1_ITEM      | Inhibidor I
ECMJAMMER_1_BRIEF     | Defensa de Misiles 1
ECMJAMMER_1_DETAIL    | Añade 1 nivel a la defensa contra ataques de misiles enemigos.

ECMJAMMER_2_NAME      | Inhibidor ECM Mark II
ECMJAMMER_2_ITEM      | Inhibidor II
ECMJAMMER_2_BRIEF     | Defensa de Misiles 2
ECMJAMMER_2_DETAIL    | Añade 2 niveles a la defensa contra ataques de misiles enemigos. 

ECMJAMMER_3_NAME      | Inhibidor ECM Mark III
ECMJAMMER_3_ITEM      | Inhibidor III
ECMJAMMER_3_BRIEF     | Defensa de Misiles 3
ECMJAMMER_3_DETAIL    | Añade 3 niveles a la defensa contra ataques de misiles enemigos.

ECMJAMMER_4_NAME      | Inhibidor ECM Mark IV
ECMJAMMER_4_ITEM      | Inhibidor IV
ECMJAMMER_4_BRIEF     | Defensa de Misiles 4
ECMJAMMER_4_DETAIL    | Añade 4 niveles a la defensa contra ataques de misiles enemigos.

ECMJAMMER_5_NAME      | Inhibidor ECM Mark V
ECMJAMMER_5_ITEM      | Inhibidor V
ECMJAMMER_5_BRIEF     | Defensa de Misiles 5
ECMJAMMER_5_DETAIL    | Añade 5 niveles a la defensa contra ataques de misiles enemigos.

ECMJAMMER_6_NAME      | Inhibidor ECM Mark VI
ECMJAMMER_6_ITEM      | Inhibidor VI
ECMJAMMER_6_BRIEF     | Defensa de Misiles 6
ECMJAMMER_6_DETAIL    | Añade 6 niveles a la defensa contra ataques de misiles enemigos.

ECMJAMMER_7_NAME      | Inhibidor ECM Mark VII
ECMJAMMER_7_ITEM      | Inhibidor VII
ECMJAMMER_7_BRIEF     | Defensa de Misiles 7
ECMJAMMER_7_DETAIL    | Añade 7 niveles a la defensa contra ataques de misiles enemigos.

ECMJAMMER_8_NAME      | Inhibidor ECM Mark VIII
ECMJAMMER_8_ITEM      | Inhibidor VIII
ECMJAMMER_8_BRIEF     | Defensa de Misiles 8
ECMJAMMER_8_DETAIL    | Añade 8 niveles a la defensa contra ataques de misiles enemigos.

ECMJAMMER_9_NAME      | Inhibidor ECM Mark IX
ECMJAMMER_9_ITEM      | Inhibidor IX
ECMJAMMER_9_BRIEF     | Defensa de Misiles 9
ECMJAMMER_9_DETAIL    | Añade 9 niveles a la defensa contra ataques de misiles enemigos.

ECMJAMMER_10_NAME     | Inhibidor ECM Mark X
ECMJAMMER_10_ITEM     | Inhibidor X
ECMJAMMER_10_BRIEF    | Defensa de Misiles 10
ECMJAMMER_10_DETAIL   | Añade 10 niveles a la defensa contra ataques de misiles enemigos.



//
// Ecological Restoration techs
//
ECORESTORATION_0_NAME   | Restauración Ecológica
ECORESTORATION_0_DETAIL | Elimina 2 unidades de residuos industriales por un costo de 1 BC.

ECORESTORATION_1_NAME   | Restauración Ecológica Mejorada
ECORESTORATION_1_DETAIL | Elimina 3 unidades de residuos industriales por un costo de 1 BC.

ECORESTORATION_2_NAME   | Restauración Ecológica Avanzada
ECORESTORATION_2_DETAIL | Elimina 5 unidades de residuos industriales por un costo de 1 BC.

ECORESTORATION_3_NAME   | Restauración Ecológica Superior
ECORESTORATION_3_DETAIL | Elimina 10 unidades de residuos industriales por un costo de 1 BC.

ECORESTORATION_4_NAME   | Restauración Ecológica Completa
ECORESTORATION_4_DETAIL | Elimina 20 unidades de residuos industriales por un costo de 1 BC.



//
// Energy Pulsar techs
//
PULSAR_0_NAME     | Púlsar de Energía
PULSAR_0_BRIEF    | Se expande para infligir 1-5 impactos
PULSAR_0_DETAIL   | Una potente modificación de motor que genera una súbita explosión esférica de energía, golpeando a todas las naves adyacentes con hasta 5 puntos de daño +1 por cada dos naves.

PULSAR_1_NAME     | Púlsar Iónico
PULSAR_1_BRIEF    | Se expande para infligir 2-10 impactos
PULSAR_1_DETAIL   | Una poderosa modificación de motor capaz de generar una explosión esférica de energía en fase, golpeando a todas las naves adyacentes con hasta 10 puntos de daño +1 por cada nave atacante.



//
// Engine techs
//
ENGINE_0_NAME    | Motores Retro
ENGINE_0_DETAIL  | Mueve las naves a Warp %1 y permite una maniobrabilidad máxima de clase I en combate.
ENGINE_0_ITEM    | Retros
ENGINE_0_ITEM2   | Clase 1
ENGINE_0_BRIEF   | Warp 1  Def %1
ENGINE_0_BRIEF2  | Velocidad de Combate %1

ENGINE_1_NAME    | Motores Nucleares
ENGINE_1_DETAIL  | Mueve las naves a Warp %1 y permite una maniobrabilidad máxima de clase II en combate.
ENGINE_1_ITEM    | Nuclear
ENGINE_1_ITEM2   | Clase 2
ENGINE_1_BRIEF   | Warp 2  Def %1
ENGINE_1_BRIEF2  | Velocidad de Combate %1

ENGINE_2_NAME    | Impulsores Sublumínicos
ENGINE_2_DETAIL  | Mueve las naves a Warp %1 y permite una maniobrabilidad máxima de clase III en combate.
ENGINE_2_ITEM    | Sublumínico
ENGINE_2_ITEM2   | Clase 3
ENGINE_2_BRIEF   | Warp 3  Def %1
ENGINE_2_BRIEF2  | Velocidad de Combate %1

ENGINE_3_NAME    | Impulsores de Fusión
ENGINE_3_DETAIL  | Mueve las naves a Warp %1 y permite una maniobrabilidad máxima de clase IV en combate.
ENGINE_3_ITEM    | Fusión
ENGINE_3_ITEM2   | Clase 4
ENGINE_3_BRIEF   | Warp 4  Def %1
ENGINE_3_BRIEF2  | Velocidad de Combate %1

ENGINE_4_NAME    | Motores de Impulso
ENGINE_4_DETAIL  | Mueve las naves a Warp %1 y permite una maniobrabilidad máxima de clase V en combate.
ENGINE_4_ITEM    | Impulso
ENGINE_4_ITEM2   | Clase 5
ENGINE_4_BRIEF   | Warp 5  Def %1
ENGINE_4_BRIEF2  | Velocidad de Combate %1

ENGINE_5_NAME    | Impulsores Iónicos
ENGINE_5_DETAIL  | Mueve las naves a Warp %1 y permite una maniobrabilidad máxima de clase VI en combate.
ENGINE_5_ITEM    | Iónico
ENGINE_5_ITEM2   | Clase 6
ENGINE_5_BRIEF   | Warp 6  Def %1
ENGINE_5_BRIEF2  | Velocidad de Combate %1

ENGINE_6_NAME    | Motores de Antimateria
ENGINE_6_DETAIL  | Mueve las naves a Warp %1 y permite una maniobrabilidad máxima de clase VII en combate.
ENGINE_6_ITEM    | Antimateria
ENGINE_6_ITEM2   | Clase 7
ENGINE_6_BRIEF   | Warp 7  Def %1
ENGINE_6_BRIEF2  | Velocidad de Combate %1

ENGINE_7_NAME    | Impulsores Interfásicos
ENGINE_7_DETAIL  | Mueve las naves a Warp %1 y permite una maniobrabilidad máxima de clase VIII en combate.
ENGINE_7_ITEM    | Interfásico
ENGINE_7_ITEM2   | Clase 8
ENGINE_7_BRIEF   | Warp 8  Def %1
ENGINE_7_BRIEF2  | Velocidad de Combate %1

ENGINE_8_NAME    | Motores Hiperespaciales
ENGINE_8_DETAIL  | Mueve las naves a Warp %1 y permite una maniobrabilidad máxima de clase IX en combate.
ENGINE_8_ITEM    | Hiper
ENGINE_8_ITEM2   | Clase 9
ENGINE_8_BRIEF   | Warp 9  Def %1
ENGINE_8_BRIEF2  | Velocidad de Combate %1



//
// Fuel Range techs
//
FUELRANGE_0_NAME   | Celdas de Combustible
FUELRANGE_0_DETAIL | Las reservas de combustible permiten a las naves moverse hasta %1 años luz desde los planetas colonia.

FUELRANGE_1_NAME   | Celdas de Combustible de Hidrógeno
FUELRANGE_1_DETAIL | Las reservas de combustible permiten a las naves moverse hasta %1 años luz desde los planetas colonia.

FUELRANGE_2_NAME   | Celdas de Combustible de Deuterio
FUELRANGE_2_DETAIL | Las reservas de combustible permiten a las naves moverse hasta %1 años luz desde los planetas colonia.

FUELRANGE_3_NAME   | Celdas de Combustible de Iridio
FUELRANGE_3_DETAIL | Las reservas de combustible permiten a las naves moverse hasta %1 años luz desde los planetas colonia.

FUELRANGE_4_NAME   | Cristales de Dotomita
FUELRANGE_4_DETAIL | Las reservas de combustible permiten a las naves moverse hasta %1 años luz desde los planetas colonia.

FUELRANGE_5_NAME   | Celdas de Combustible de Uridio
FUELRANGE_5_DETAIL | Las reservas de combustible permiten a las naves moverse hasta %1 años luz desde los planetas colonia.

FUELRANGE_6_NAME   | Celdas de Combustible Reajax II
FUELRANGE_6_DETAIL | Las reservas de combustible permiten a las naves moverse hasta %1 años luz desde los planetas colonia.

FUELRANGE_7_NAME   | Cristales de Trilithio
FUELRANGE_7_DETAIL | Las reservas de combustible permiten a las naves moverse hasta %1 años luz desde los planetas colonia.

FUELRANGE_8_NAME   | Celdas de Torio
FUELRANGE_8_DETAIL | Las reservas de combustible permiten a las naves moverse a cualquier distancia desde los planetas colonia.



//
// Future Computer techs
//
FUTURECOMP_0_NAME    | Computadora Futura I
FUTURECOMP_0_DETAIL  | Mejoras generales en la tecnología informática.

FUTURECOMP_1_NAME    | Computadora Futura II
FUTURECOMP_1_DETAIL  | Mejoras generales en la tecnología informática.

FUTURECOMP_2_NAME    | Computadora Futura III
FUTURECOMP_2_DETAIL  | Mejoras generales en la tecnología informática.

FUTURECOMP_3_NAME    | Computadora Futura IV
FUTURECOMP_3_DETAIL  | Mejoras generales en la tecnología informática.

FUTURECOMP_4_NAME    | Computadora Futura V
FUTURECOMP_4_DETAIL  | Mejoras generales en la tecnología informática.

FUTURECOMP_5_NAME    | Computadora Futura VI
FUTURECOMP_5_DETAIL  | Mejoras generales en la tecnología informática.

FUTURECOMP_6_NAME    | Computadora Futura VII
FUTURECOMP_6_DETAIL  | Mejoras generales en la tecnología informática.

FUTURECOMP_7_NAME    | Computadora Futura VIII
FUTURECOMP_7_DETAIL  | Mejoras generales en la tecnología informática.

FUTURECOMP_8_NAME    | Computadora Futura IX
FUTURECOMP_8_DETAIL  | Mejoras generales en la tecnología informática.

FUTURECOMP_9_NAME    | Computadora Futura X
FUTURECOMP_9_DETAIL  | Mejoras generales en la tecnología informática.



//
// Future Construction techs
//
FUTURECONST_0_NAME    | Construcción Futura I
FUTURECONST_0_DETAIL  | Mejoras generales en la tecnología de construcción.

FUTURECONST_1_NAME    | Construcción Futura II
FUTURECONST_1_DETAIL  | Mejoras generales en la tecnología de construcción.

FUTURECONST_2_NAME    | Construcción Futura III
FUTURECONST_2_DETAIL  | Mejoras generales en la tecnología de construcción.

FUTURECONST_3_NAME    | Construcción Futura IV
FUTURECONST_3_DETAIL  | Mejoras generales en la tecnología de construcción.

FUTURECONST_4_NAME    | Construcción Futura V
FUTURECONST_4_DETAIL  | Mejoras generales en la tecnología de construcción.

FUTURECONST_5_NAME    | Construcción Futura VI
FUTURECONST_5_DETAIL  | Mejoras generales en la tecnología de construcción.

FUTURECONST_6_NAME    | Construcción Futura VII
FUTURECONST_6_DETAIL  | Mejoras generales en la tecnología de construcción.

FUTURECONST_7_NAME    | Construcción Futura VIII
FUTURECONST_7_DETAIL  | Mejoras generales en la tecnología de construcción.

FUTURECONST_8_NAME    | Construcción Futura IX
FUTURECONST_8_DETAIL  | Mejoras generales en la tecnología de construcción.

FUTURECONST_9_NAME    | Construcción Futura X
FUTURECONST_9_DETAIL  | Mejoras generales en la tecnología de construcción.
 


//
// Future Force Field techs
//
FUTUREFORCE_0_NAME    | Campo de Fuerza Futuro I
FUTUREFORCE_0_DETAIL  | Mejoras generales en la tecnología de campos de fuerza.

FUTUREFORCE_1_NAME    | Campo de Fuerza Futuro II
FUTUREFORCE_1_DETAIL  | Mejoras generales en la tecnología de campos de fuerza.

FUTUREFORCE_2_NAME    | Campo de Fuerza Futuro III
FUTUREFORCE_2_DETAIL  | Mejoras generales en la tecnología de campos de fuerza.

FUTUREFORCE_3_NAME    | Campo de Fuerza Futuro IV
FUTUREFORCE_3_DETAIL  | Mejoras generales en la tecnología de campos de fuerza.

FUTUREFORCE_4_NAME    | Campo de Fuerza Futuro V
FUTUREFORCE_4_DETAIL  | Mejoras generales en la tecnología de campos de fuerza.

FUTUREFORCE_5_NAME    | Campo de Fuerza Futuro VI
